Question1;Question2;Question3;Question4;Question5;Question6;Question7;Question8;House
Dusk;The power to read minds;Cowardly;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The silver leafed tree bearing golden apples;Cold;Ginger cat;Right;Hufflepuff
Forest;Ignorant;All about magical creatures, and how to befriend/care for them;Suggest drawing lots to decide which of you will fight?;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Siamese cat;The trumpet;Tails;Hufflepuff
River;The bubbling pool, in the depths of which something luminous is swirling;Centaurs;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Being ignored;The Great;White cat;Heads;Slytherin
Dusk;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Boredom;The cobbled street lined with ancient buildings;Three toed tree toad;The Bold;All about magical creatures, and how to befriend/care for them;Heads;Hufflepuff
Forest;Feared?;The violin;Miss you, but smile;Natterjack toad;The power of superhuman strength;An eye at the keyhole of the dark, windowless room in which you are locked.;Left;Slytherin
Forest;Brown owl;The power to read minds;The Wise;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Liked?;White;Ravenclaw
Dusk;Apparition and Disapparition (being able to materialize and dematerialize at will);The narrow, dark, lantern-lit alley;Wisdom?;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Trusted?;Siamese cat;Tails;Slytherin
Dusk;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;The power to change the past;Agree, and walk away, leaving them to wonder whether you are bluffing?;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The Good;Dragon toad;Heads;Hufflepuff
River;Boredom;The wide, sunny, grassy lane;Natterjack toad;The power to speak to animals;Ask for more stories about your adventures;The drum;Left;Hufflepuff
Dawn;The power to speak to animals;The statue of an old wizard with a strangely twinkling eye;Draw your wand and stand your ground?;Praised?;Natterjack toad;The Great;Black;Gryffindor
Moon;Imitated?;Attempt to confuse the troll into letting all three of you pass without fighting?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Common toad;Werewolves;The Good;White;Hufflepuff
Dawn;Agree, and walk away, leaving them to wonder whether you are bluffing?;Merpeople;The Good;Harlequin toad;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Right;Hufflepuff
Moon;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Flying on a broomstick;Tawny owl;The Bold;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Tails;Ravenclaw
Moon;Hexes and jinxes;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Ignorant;Tawny owl;Agree, and ask whether they'd like a free sample of a jinx?;Being ignored;Left;Ravenclaw
River;Trusted?;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Dragon toad;The power of invisibility;Love?;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Black;Hufflepuff
Dawn;The power to change your appearance at will;The wide, sunny, grassy lane;Selfish;Feared?;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;White cat;Black;Ravenclaw
Moon;Miss you, but smile;Siamese cat;Werewolves;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Being ignored;Right;Gryffindor
Dawn;The power of invisibility;Praised?;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Barn owl;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Draw your wand and try to discover the source of the noise?;Right;Gryffindor
Moon;Tawny owl;Agree, and ask whether they'd like a free sample of a jinx?;Goblins;Home;Ignorant;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Heads;Ravenclaw
Stars;Love?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Tawny owl;The power of superhuman strength;Praised?;Right;Hufflepuff
Dusk;Screech owl;The wide, sunny, grassy lane;The violin;Loneliness;Selfish;The power to speak to animals;Right;Hufflepuff
Dusk;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Wisdom?;The silver leafed tree bearing golden apples;Cold;White cat;Ghosts;Black;Slytherin
Dusk;The Good;Goblins;Loneliness;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Siamese cat;Tails;Hufflepuff
Dawn;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Tabby cat;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Hunger;Merpeople;Ordinary;Black;Slytherin
Dawn;Power?;The twisting, leaf-strewn path through woods;Tawny owl;Being ignored;The trumpet;Ghosts;Heads;Ravenclaw
Dawn;Trusted?;Dragon toad;Miss you, but smile;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;The power to speak to animals;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Black;Hufflepuff
Dawn;Tabby cat;Glory?;Boredom;Home;Agree, and walk away, leaving them to wonder whether you are bluffing?;The power to change the past;Tails;Gryffindor
Forest;Draw your wand and try to discover the source of the noise?;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The fat red toadstools that appear to be talking to each other;The Good;Centaurs;Black cat;Heads;Ravenclaw
Dawn;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Screech owl;The Good;All about magical creatures, and how to befriend/care for them;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Being ignored;Heads;Ravenclaw
Stars;Tell them that you are worried about their mental health, and offer to call a doctor.;The power of superhuman strength;Black cat;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Fresh parchment;Cowardly;Left;Gryffindor
River;Barn owl;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;All about magical creatures, and how to befriend/care for them;Wisdom?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Being ignored;Left;Ravenclaw
Dusk;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The Good;The narrow, dark, lantern-lit alley;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';All about magical creatures, and how to befriend/care for them;Barn owl;Right;Hufflepuff
River;Tabby cat;Boredom;An eye at the keyhole of the dark, windowless room in which you are locked.;The statue of an old wizard with a strangely twinkling eye;Love?;The power to change the past;Right;Gryffindor
Dawn;Hunger;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;The Wise;Flying on a broomstick;Common toad;Agree, and walk away, leaving them to wonder whether you are bluffing?;White;Ravenclaw
Moon;Attempt to confuse the troll into letting all three of you pass without fighting?;Home;Snowy owl;Centaurs;The Wise;Imitated?;Tails;Ravenclaw
Forest;Dragon toad;Ordinary;Cold;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';The power to read minds;Agree, and ask whether they'd like a free sample of a jinx?;Left;Slytherin
River;Power?;The wide, sunny, grassy lane;The power of invisibility;Tawny owl;Imitated?;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Heads;Hufflepuff
Forest;The power of invisibility;Three toed tree toad;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Loneliness;The twisting, leaf-strewn path through woods;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Left;Gryffindor
Dawn;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Tabby cat;The narrow, dark, lantern-lit alley;Werewolves;Boredom;Love?;Left;Gryffindor
Forest;The power of superhuman strength;Hunger;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Siamese cat;Ask for more stories about your adventures;The piano;Heads;Hufflepuff
River;The drum;Love?;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Flying on a broomstick;White cat;Heads;Hufflepuff
Forest;Suggest drawing lots to decide which of you will fight?;Werewolves;Barn owl;Power?;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The drum;Left;Ravenclaw
Stars;The statue of an old wizard with a strangely twinkling eye;Vampires;Ask what makes them think so?;Dragon toad;Love?;Cold;White;Hufflepuff
River;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The twisting, leaf-strewn path through woods;Think with admiration of your achievements;Natterjack toad;The bubbling pool, in the depths of which something luminous is swirling;Centaurs;Heads;Ravenclaw
Forest;Trusted?;Brown owl;The Great;The trumpet;An eye at the keyhole of the dark, windowless room in which you are locked.;Transfiguration (turning one object into another object);White;Ravenclaw
Moon;A crackling log fire;Tell them that you are worried about their mental health, and offer to call a doctor.;Transfiguration (turning one object into another object);Liked?;The Wise;Ginger cat;White;Ravenclaw
Stars;Trolls;Liked?;Cowardly;Black cat;The twisting, leaf-strewn path through woods;The statue of an old wizard with a strangely twinkling eye;White;Gryffindor
River;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;The violin;Three toed tree toad;The Good;Centaurs;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Right;Hufflepuff
Moon;Tabby cat;Apparition and Disapparition (being able to materialize and dematerialize at will);Ask for more stories about your adventures;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Trusted?;Tails;Gryffindor
Moon;The drum;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;The power to change the past;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Black cat;Tails;Slytherin
Dawn;The bubbling pool, in the depths of which something luminous is swirling;Wisdom?;Secrets about the castle;Trusted?;Draw your wand and try to discover the source of the noise?;Ginger cat;Right;Gryffindor
Stars;The bubbling pool, in the depths of which something luminous is swirling;The Bold;The power to read minds;Loneliness;Common toad;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Left;Gryffindor
Dawn;Selfish;The power to change your appearance at will;An eye at the keyhole of the dark, windowless room in which you are locked.;Ginger cat;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;A crackling log fire;Right;Gryffindor
Moon;The drum;Ignorant;Liked?;The power to change your appearance at will;Ask what makes them think so?;Barn owl;Left;Ravenclaw
Dusk;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Ghosts;Screech owl;Agree, and walk away, leaving them to wonder whether you are bluffing?;The Good;Left;Gryffindor
Stars;Liked?;The Great;The twisting, leaf-strewn path through woods;Snowy owl;The power to speak to animals;Fresh parchment;Black;Hufflepuff
Dusk;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The power to read minds;Think with admiration of your achievements;Common toad;Heads;Hufflepuff
Dusk;The Good;Agree, and ask whether they'd like a free sample of a jinx?;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Werewolves;Black cat;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Right;Hufflepuff
Moon;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The power of invisibility;The piano;White cat;An eye at the keyhole of the dark, windowless room in which you are locked.;The Good;White;Ravenclaw
Moon;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The silver leafed tree bearing golden apples;The Great;Brown owl;The power to change your appearance at will;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;White;Ravenclaw
Forest;Hunger;Think with admiration of your achievements;The bubbling pool, in the depths of which something luminous is swirling;The power to change your appearance at will;Draw your wand and try to discover the source of the noise?;Siamese cat;White;Ravenclaw
River;Transfiguration (turning one object into another object);Trusted?;Suggest drawing lots to decide which of you will fight?;Think with admiration of your achievements;The statue of an old wizard with a strangely twinkling eye;Siamese cat;White;Hufflepuff
Stars;The power of superhuman strength;The fat red toadstools that appear to be talking to each other;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Attempt to confuse the troll into letting all three of you pass without fighting?;The Great;Ginger cat;Right;Hufflepuff
Stars;Hexes and jinxes;The Good;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';The narrow, dark, lantern-lit alley;Barn owl;Hunger;White;Hufflepuff
Stars;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Draw your wand and stand your ground?;Wisdom?;Secrets about the castle;Screech owl;White;Hufflepuff
Dawn;Merpeople;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The sea;Tawny owl;Wisdom?;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Left;Ravenclaw
Moon;Suggest that all three of you should fight (without telling the troll)?;Praised?;Natterjack toad;Werewolves;The silver leafed tree bearing golden apples;Selfish;Tails;Slytherin
Stars;Trolls;Common toad;Suggest drawing lots to decide which of you will fight?;Being ignored;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Cowardly;Right;Hufflepuff
Dusk;The piano;Praised?;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Ask for more stories about your adventures;Screech owl;Vampires;Right;Gryffindor
Forest;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;The Bold;Werewolves;Harlequin toad;Feared?;The wide, sunny, grassy lane;Black;Gryffindor
Moon;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Tawny owl;The power to change your appearance at will;The Great;Black;Ravenclaw
Moon;Barn owl;The cobbled street lined with ancient buildings;The sea;Merpeople;The Wise;Being ignored;Black;Ravenclaw
Dusk;Cowardly;Three toed tree toad;A crackling log fire;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Hexes and jinxes;Boredom;Left;Slytherin
Stars;The Bold;Draw your wand and try to discover the source of the noise?;Brown owl;Trusted?;Ghosts;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Right;Gryffindor
Forest;Ignorant;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Loneliness;The power to change the past;Ginger cat;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Right;Hufflepuff
Dusk;The drum;Dragon toad;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Tell them that you are worried about their mental health, and offer to call a doctor.;The Wise;Centaurs;Left;Ravenclaw
Dusk;Power?;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The violin;Harlequin toad;Vampires;White;Slytherin
Dawn;White cat;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Suggest that all three of you should fight (without telling the troll)?;Think with admiration of your achievements;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Ghosts;Heads;Ravenclaw
Moon;The drum;Secrets about the castle;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The wide, sunny, grassy lane;Cowardly;Brown owl;Tails;Gryffindor
Forest;The fat red toadstools that appear to be talking to each other;Vampires;Boredom;Ordinary;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Black cat;White;Slytherin
River;Trusted?;Glory?;The cobbled street lined with ancient buildings;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;The power to change the past;Brown owl;Heads;Hufflepuff
Dusk;Selfish;Goblins;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Three toed tree toad;Hunger;Heads;Hufflepuff
Moon;Waking up to find that neither your friends nor your family have any idea who you are.;The sea;Common toad;Glory?;Werewolves;Boredom;Right;Gryffindor
Stars;Ordinary;The power of superhuman strength;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The wide, sunny, grassy lane;Natterjack toad;A crackling log fire;Black;Hufflepuff
Stars;Draw your wand and try to discover the source of the noise?;Transfiguration (turning one object into another object);The Bold;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Dragon toad;Imitated?;Heads;Gryffindor
Dusk;Ordinary;Screech owl;Home;The wide, sunny, grassy lane;All about magical creatures, and how to befriend/care for them;Praised?;Tails;Hufflepuff
Dusk;Feared?;Power?;Tawny owl;Draw your wand and try to discover the source of the noise?;Centaurs;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Right;Slytherin
Dusk;Wisdom?;The power to read minds;The sea;Cold;Common toad;Ask what makes them think so?;Right;Hufflepuff
Forest;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Tabby cat;Cold;Fresh parchment;Glory?;Secrets about the castle;Tails;Gryffindor
Stars;Snowy owl;Agree, and ask whether they'd like a free sample of a jinx?;Love?;The power to change your appearance at will;The statue of an old wizard with a strangely twinkling eye;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Black;Gryffindor
Dawn;Loneliness;Tabby cat;The fat red toadstools that appear to be talking to each other;The narrow, dark, lantern-lit alley;Werewolves;Selfish;White;Hufflepuff
Dusk;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Wisdom?;Hunger;Goblins;Tabby cat;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Right;Hufflepuff
Stars;The power to speak to animals;Natterjack toad;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Glory?;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Tails;Gryffindor
Dusk;The fat red toadstools that appear to be talking to each other;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Wisdom?;Dragon toad;The narrow, dark, lantern-lit alley;Every area of magic I can;Left;Ravenclaw
River;Draw your wand and try to discover the source of the noise?;The power of invisibility;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Tabby cat;The statue of an old wizard with a strangely twinkling eye;Power?;Black;Gryffindor
River;Love?;Trolls;The trumpet;Being ignored;The cobbled street lined with ancient buildings;Screech owl;Right;Hufflepuff
Forest;Common toad;The power of superhuman strength;Love?;Imitated?;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Suggest that all three of you should fight (without telling the troll)?;White;Hufflepuff
Dusk;All about magical creatures, and how to befriend/care for them;The violin;Wisdom?;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Tabby cat;Tails;Slytherin
Moon;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Transfiguration (turning one object into another object);Praised?;The Great;Tawny owl;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Left;Ravenclaw
Dusk;Fresh parchment;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The power to read minds;Wisdom?;Dragon toad;Volunteer to fight?;Right;Ravenclaw
Forest;Ginger cat;The Bold;Draw your wand and stand your ground?;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Secrets about the castle;Heads;Slytherin
Forest;Love?;The drum;Volunteer to fight?;The power to read minds;Brown owl;Feared?;Tails;Gryffindor
Forest;Imitated?;Goblins;Home;White cat;Suggest drawing lots to decide which of you will fight?;Ordinary;Heads;Ravenclaw
Moon;Agree, and ask whether they'd like a free sample of a jinx?;White cat;Hunger;The power to read minds;The sea;Glory?;Tails;Slytherin
Forest;The power to read minds;Hunger;An eye at the keyhole of the dark, windowless room in which you are locked.;Ask for more stories about your adventures;The sea;Dragon toad;Heads;Ravenclaw
Dusk;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Barn owl;The power to speak to animals;Love?;Liked?;Heads;Hufflepuff
Dawn;The narrow, dark, lantern-lit alley;The power to change your appearance at will;Cold;The piano;Brown owl;The Great;Tails;Ravenclaw
River;Draw your wand and stand your ground?;The power of invisibility;Ignorant;The piano;Siamese cat;Loneliness;Left;Slytherin
Dawn;Agree, and ask whether they'd like a free sample of a jinx?;Loneliness;The piano;All about magical creatures, and how to befriend/care for them;Natterjack toad;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Left;Hufflepuff
Dawn;Brown owl;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The Bold;The power to read minds;The trumpet;Tails;Gryffindor
Moon;Selfish;All about magical creatures, and how to befriend/care for them;White cat;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Right;Hufflepuff
Forest;The power to read minds;Ordinary;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Draw your wand and try to discover the source of the noise?;Snowy owl;Right;Gryffindor
Dawn;Tell them that you are worried about their mental health, and offer to call a doctor.;Brown owl;The power of invisibility;Being ignored;The Great;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Left;Ravenclaw
River;Ordinary;The power of invisibility;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Snowy owl;Being ignored;White;Hufflepuff
Forest;Praised?;Ask what makes them think so?;Barn owl;Love?;Apparition and Disapparition (being able to materialize and dematerialize at will);The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Heads;Ravenclaw
Forest;The statue of an old wizard with a strangely twinkling eye;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Harlequin toad;Vampires;Heads;Ravenclaw
Dawn;Trolls;The trumpet;White cat;Hunger;The Great;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Heads;Hufflepuff
Dawn;The power of invisibility;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Ginger cat;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Ask for more stories about your adventures;Heads;Gryffindor
River;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Praised?;The Good;The power of invisibility;Draw your wand and try to discover the source of the noise?;Brown owl;Right;Gryffindor
River;The violin;Vampires;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Three toed tree toad;Liked?;Ask for more stories about your adventures;Tails;Slytherin
Dusk;Cold;Draw your wand and try to discover the source of the noise?;Barn owl;Every area of magic I can;The violin;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Right;Slytherin
Moon;The power to change the past;Ignorant;Ginger cat;Attempt to confuse the troll into letting all three of you pass without fighting?;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Liked?;White;Ravenclaw
Stars;Tawny owl;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Flying on a broomstick;Ordinary;A crackling log fire;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Heads;Gryffindor
Stars;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;A crackling log fire;Secrets about the castle;Power?;Ginger cat;Imitated?;White;Gryffindor
Forest;Tabby cat;A crackling log fire;Glory?;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;The power to read minds;Cold;Heads;Ravenclaw
Dawn;Loneliness;The power of superhuman strength;Natterjack toad;The statue of an old wizard with a strangely twinkling eye;Volunteer to fight?;Selfish;Right;Gryffindor
Dusk;Ask for more stories about your adventures;Three toed tree toad;Home;Trolls;An eye at the keyhole of the dark, windowless room in which you are locked.;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Tails;Hufflepuff
